Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-SO-GB0-001,"Telecommunication project (PANAFTEL), phase 1",955450.05,Somalia,1987-12-14,Cancelled,,Communications,Sovereign
P-BJ-GB0-002,National telecommunications network maintenance improvement plan,10636395.94,Benin,1987-10-26,Completion,,Communications,Sovereign
P-RW-GB0-001,PROJET DE TELECOMMUNICATION DE L'OBK,1543535.29,Rwanda,1986-12-22,Completion,,Communications,Sovereign
P-TZ-GB0-001,Telecommunications - I Project,3446452.67,"Tanzania, United Republic of",1986-12-22,Completion,,Communications,Sovereign
P-Z1-GB0-003,K.B.O. Regional Telecom. Project,4704739.63,Multinational,1986-12-22,Completion,African Development Fund,Communications,Sovereign
P-Z1-GB0-004,Projet Regional Telecommunications O.B.K,713223.82,Multinational,1986-12-22,Completion,African Development Fund,Communications,Sovereign
P-TD-GB0-002,Chad - Telecommunications Infrastructure Rehabilitation Project,14273672.32,Chad,1986-12-18,Completion,,Communications,Sovereign
P-SN-GB0-001,PLAN NAT.D'AMELIORA.MAINTEN.RESEAU TELEC,6740325.8,Senegal,1986-08-26,Completion,African Development Bank,Communications,Sovereign
P-ZR-GB0-001,ETUDE RESTRU.ONPTC & REHAB. RESEAU TELEC,774915.01,Ex Zaire,1986-04-16,Cancelled,,Communications,Sovereign
P-CV-GB0-003,Projet d'extension et de modernisation des réseaux de télecommunications supplémentaire,1241796.45,Cape Verde,1986-02-24,Cancelled,,Communications,Sovereign
P-ZM-GB0-002,Telecommunication-II (ADB),33461387.02,Zambia,1985-12-10,Completion,,Communications,Sovereign
P-ST-GB0-001,TELECOMMUNICATIONS,1835246.8,Sao Tome and Principe,1984-11-19,Completion,,Communications,Sovereign
P-ET-GB0-001,Telecommunications   I,24009134.87,Ethiopia,1984-06-13,Completion,,Communications,Sovereign
P-MZ-GB0-002,Mozambique - Telecommunications II Project,29467704.73,Mozambique,1984-02-08,Completion,,Communications,Sovereign
P-MW-GB0-001,Malawi Telecommunications I Project,7933197.81,Malawi,1983-11-08,Completion,African Development Bank,Communications,Sovereign
P-AO-GB0-002,Angola - International Telecommunication System Extension Project,17463826.72,Angola,1983-10-18,Completion,,Communications,Sovereign
,,,,,,,,
P-ZW-GB0-001,Telecommunications - I,7000000.0,Zimbabwe,1983-09-27,Completion,,Communications,Sovereign
P-CI-GB0-001,TELECOMMUNICATION PLATEAU III,9999234.83,Côte d'Ivoire,1982-03-16,Completion,African Development Bank,Communications,Sovereign
P-GN-GB0-004,The Guinea - Telecommunications Network Extension and Modernization Project (additional 2),4300498.39,Guinea,1981-12-29,Completion,African Development Bank,Communications,Sovereign
P-CF-GB0-001,SYSTEME TELEPHONIQUE DE BANGUI,8582616.67,Central African Republic,1981-11-29,Completion,,Communications,Sovereign
P-SZ-GB0-003,Telecommunitations III Project (ADB),7740106.0,Eswatini,1981-11-24,Completion,,Communications,Sovereign
P-BW-GB0-002,Telecommunications III (ADB),9800103.36,Botswana,1981-02-27,Completion,African Development Bank,Communications,Sovereign
P-BW-GB0-003,Telecommunication II,4882146.36,Botswana,1980-11-12,Completion,,Communications,Sovereign
P-LS-GB0-001,Telecommunications I Project,7778484.02,Lesotho,1980-01-29,Completion,,Communications,Sovereign
P-Z1-GB0-006,Telecommunications de Liptako-Gourma,33286019.33,Multinational,1978-12-20,Completion,African Development Bank,Communications,Sovereign
P-GA-GB0-002,DEV.TELECOM. A PORT GENTIL & 8 CENTRES,4978856.05,Gabon,1978-09-20,Completion,,Communications,Sovereign
P-GA-GB0-001,EXT. RESEAU TELEPHONIQUE LIBREVILLE,4998277.32,Gabon,1978-06-08,Completion,,Communications,Sovereign
P-MZ-GB0-001,Telecom. I (Maputo/Beira Link) (Ntf),1900000.0,Mozambique,1978-03-24,Completion,,Communications,Sovereign
P-GH-GB0-001,Panaftel Telecommunications Project,4909447.41,Ghana,1977-10-21,Completion,African Development Bank,Communications,Sovereign
P-CV-GB0-002,Telecommunications,3429485.52,Cape Verde,1977-08-16,Completion,African Development Fund,Communications,Sovereign
P-SZ-GB0-002,Telecommunications II,4921453.2,Eswatini,1976-12-20,Completion,,Communications,Sovereign
P-GN-GB0-003,Guinea - Telecommunications Network Extension and Modernization Project (additional 1),1000000.0,Guinea,1976-03-31,Completion,African Development Bank,Communications,Sovereign
P-CG-GB0-001,INSTALLATION-LIAISON FAISCEAU HERTZIEN (,2399714.67,Congo,1975-12-16,Completion,,Communications,Sovereign
P-GA-GB0-003,CHEMIN DE FER TRANSGABONNAIS,4000000.0,Gabon,1974-09-13,Completion,African Development Bank,Communications,Sovereign
P-ZM-GB0-001,Telecommunications I,4161315.76,Zambia,1974-09-13,Completion,,Communications,Sovereign
P-GN-GB0-002,Guinea - Telecommunications Network Extension and Modernization Project,4000000.0,Guinea,1974-02-20,Completion,African Development Bank,Communications,Sovereign
,,,,,,,,
P-ZR-GB0-003,Ex- Zaïre - Télécommunications,99473.62,Ex Zaire,1973-12-19,Completion,,Communications,Sovereign
P-BW-GB0-001,Botswana - Telecommunication,2155210.9,Botswana,1973-11-06,Completion,,Communications,Sovereign
P-MR-GB0-001,Mauritania - Telecommunications Project,1650000.0,Mauritania,1972-12-14,Completion,African Development Bank,Communications,Sovereign
P-SZ-GB0-001,Swaziland - Telecommunications Project,2200000.0,Eswatini,1972-11-22,Completion,,Communications,Sovereign
P-NE-GB0-001,Niger - Telecommunications projects,1400000.0,Niger,1970-12-17,Completion,African Development Bank,Communications,
