Country,Commitment in U.A,Status,Source of Financing,Sector
Benin,12320000.0,Completion,,Power
Mali,1100441.77,Completion,African Development Fund,Power
,,,,
Multinational,2485756.93,Completion,,Power
Multinational,11027216.99,Completion,,Power
Nigeria,65185648.73,Completion,African Development Bank,Power
Morocco,64005632.5,Completion,African Development Bank,Power
Gambia,613529.71,Completion,,Power
Guinea,1342599.09,Completion,,Power
Niger,627164.44,Completion,,Power
Burkina Faso,847540.08,Completion,African Development Fund,Power
Ethiopia,34233619.09,Completion,,Power
Mozambique,10384826.46,Completion,,Power
"Tanzania, United Republic of",1870000.0,Completion,African Development Fund,Power
Gambia,2839871.01,Completion,,Power
Uganda,1443192.08,Completion,African Development Fund,Power
Multinational,1619845.27,Completion,,Power
Benin,4786019.01,Completion,,Power
Mozambique,994000.0,Completion,African Development Fund,Power
Multinational,34571025.97,Completion,,Power
Zambia,4752732.53,Completion,African Development Fund,Power
Tunisia,45036409.68,Completion,,Power
Côte d'Ivoire,9125990.82,Completion,African Development Bank,Power
,,,,
Senegal,6000000.0,Completion,African Development Fund,Power
Algeria,33141492.18,Completion,,Power
Namibia,3654062.15,Completion,African Development Bank,Power
Cameroon,437492.81,Completion,,Power
Benin,666637.76,Cancelled,,Power
Morocco,22278057.7,Completion,African Development Bank,Power
Mozambique,14750267.52,Completion,,Power
Uganda,11843045.55,Completion,,Power
Algeria,54758416.86,Completion,,Power
Ethiopia,2346723.54,Completion,,Power
Sudan,630843.36,Completion,,Power
Sao Tome and Principe,1938325.72,Completion,,Power
Gambia,749291.15,Completion,,Power
"Tanzania, United Republic of",1751760.58,Completion,,Power
Uganda,475223.52,Completion,,Power
Multinational,838730.87,Completion,,Power
Multinational,276316.0,Completion,African Development Fund,Power
Multinational,650405.33,Completion,African Development Fund,Power
Kenya,708221.95,Completion,,Power
Tunisia,29853880.8,Completion,,Power
,,,,
Multinational,186873.94,Completion,,Power
Egypt,1513642.84,Completion,,Power
Lesotho,505997.63,Cancelled,African Development Fund,Power
Ethiopia,46827971.4,Completion,,Power
Multinational,546126.25,Completion,,Power
Guinea,11338823.99,Completion,,Power
Sudan,623005.2,Completion,,Power
Chad,940153.21,Completion,,Power
"Tanzania, United Republic of",25514643.83,Completion,,Power
Multinational,3453945.0,Completion,African Development Fund,Power
Mali,8406926.11,Completion,,Power
Mozambique,12931653.01,Completion,,Power
Uganda,18372946.47,Completion,,Power
Zimbabwe,663916.65,Completion,,Power
Multinational,2519233.96,Completion,,Power
Sierra Leone,34649933.64,Completion,,Power
Egypt,122072098.91,Completion,,Power
Zimbabwe,10637804.4,Completion,,Power
Ethiopia,1576867.85,Completion,,Power
Multinational,2725139.65,Completion,,Power
,,,,
Egypt,50013382.84,Completion,,Power
Tunisia,28440000.0,Completion,,Power
Multinational,1000643.58,Completion,African Development Fund,Power
Zambia,6592725.71,Completion,,Power
Ex Zaire,64460000.0,Cancelled,African Development Bank,Power
Morocco,37950020.73,Completion,African Development Bank,Power
Sudan,764825.62,Completion,,Power
"Tanzania, United Republic of",11911164.77,Completion,,Power
Central African Republic,11051868.44,Completion,,Power
Morocco,49088735.98,Completion,,Power
Egypt,241248161.26,Completion,,Power
Côte d'Ivoire,120000000.0,Completion,African Development Bank,Power
Guinea-Bissau,4125122.36,Completion,,Power
Zimbabwe,14575182.84,Completion,,Power
Somalia,3611015.82,Completion,African Development Fund,Power
Multinational,6771205.15,Completion,African Development Fund,Power
Rwanda,5785554.51,Completion,,Power
Ethiopia,34266776.8,Completion,,Power
Egypt,100260247.29,Completion,African Development Bank,Power
Ex Zaire,17260648.45,Cancelled,African Development Bank,Power
,,,,
Sudan,38177750.61,Completion,,Power
Senegal,10336600.0,Completion,,Power
Senegal,6369722.75,Completion,African Development Fund,Power
